176.32.195.85 - - [14/Oct/2025:00:04:58 +0000] "\x16\x03\x02\x01o\x01" 400 505 "-" "-"
46.161.50.108 - - [14/Oct/2025:00:06:39 +0000] "GET / HTTP/1.1" 200 2247 "-" "fasthttp"
46.161.50.108 - - [14/Oct/2025:00:06:39 +0000] "\x16\x03\x01\x05\xa8\x01" 400 505 "-" "-"
46.161.50.108 - - [14/Oct/2025:00:06:40 +0000] "GET /aaa9 HTTP/1.1" 404 454 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
46.161.50.108 - - [14/Oct/2025:00:06:40 +0000] "\x16\x03\x01\x05\xa8\x01" 400 505 "-" "-"
46.161.50.108 - - [14/Oct/2025:00:06:40 +0000] "GET /aab9 HTTP/1.1" 404 454 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36"
185.244.104.2 - - [14/Oct/2025:00:06:53 +0000] "PROPFIND / HTTP/1.1" 405 3137 "http://13.81.122.97:443/" "-"
185.242.226.80 - - [14/Oct/2025:00:07:07 +0000] "GET / HTTP/1.1" 200 1304 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"
196.251.72.177 - - [14/Oct/2025:00:20:45 +0000] "GET /.env HTTP/1.1" 404 3070 "-" "Mozilla/5.0 (Linux; Android 9; MHA-AL00 Build/HUAWEIMHA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.99 Mobile Safari/537.36 MMWEBID/9772 MicroMessenger/7.0.6.1460(0x27000634) Process/tools NetType/WIFI Language/zh_CN"
196.251.72.177 - - [14/Oct/2025:00:21:32 +0000] "GET /.env HTTP/1.1" 404 3070 "-" "Mozilla/5.0 (hp-tablet; Linux; hpwOS/3.0.2; U; de-DE) AppleWebKit/534.6 (KHTML, like Gecko) wOSBrowser/234.40.1 Safari/534.6 TouchPad/1.0"
204.76.203.213 - - [14/Oct/2025:00:23:13 +0000] "GET /.env HTTP/1.1" 404 435 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.10) Gecko/2009042513 Linux Mint/5 (Elyssa) Firefox/3.0.10"
204.76.203.213 - - [14/Oct/2025:00:23:13 +0000] "GET /.env HTTP/1.1" 404 2835 "-" "Mozilla/5.0 (Android 5.1.1; Mobile; rv:57.0) Gecko/57.0 Firefox/57.0"
204.76.203.213 - - [14/Oct/2025:00:23:13 +0000] "GET /backend/.env HTTP/1.1" 404 435 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C)"
204.76.203.213 - - [14/Oct/2025:00:23:13 +0000] "GET /backend/.env HTTP/1.1" 404 2834 "-" "Mozilla/4.1 (compatible; MSIE 5.0; Symbian OS; Nokia 6600;452) Opera 6.20 [en-US]"
204.76.203.213 - - [14/Oct/2025:00:23:13 +0000] "GET /api/.env HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_7; en-us) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Safari/530.17"
204.76.203.213 - - [14/Oct/2025:00:23:14 +0000] "GET /admin/.env HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; nl) AppleWebKit/522.13.1 (KHTML, like Gecko) Version/3.0.2 Safari/522.13.1"
